"id","parent_id","facility_level","facility_code","facility_name","type","create_by","create_time","update_by","update_time","remark","is_del","facility_type"
1454,0,1,"2","2",1,admin,"2020-11-15 14:23:07",,,,0,
1455,1454,2,"21","21",2,admin,"2020-11-15 14:23:07",,,,0,
1456,1455,3,"212.AF1","212.AF1",3,admin,"2020-11-15 14:23:07",,,重型板喂机,0,1
1457,1455,3,"212.HC1","212.HC1",3,admin,"2020-11-15 14:23:07",,,单段锤式破碎机,0,1
1458,1455,3,"212.FN1","212.FN1",3,admin,"2020-11-15 14:23:08",,,吸尘风机,0,1
1459,1455,3,"212.BC1","212.BC1",3,admin,"2020-11-15 14:23:08",,,胶带输送机,0,0
1460,1455,3,"212.CX1","212.CX1",3,admin,"2020-11-15 14:23:08",,,螺杆空压机,0,0
1461,1454,2,"29","29",2,admin,"2020-11-15 14:23:09",,,,0,
1462,1461,3,"291.BC1","291.BC1",3,admin,"2020-11-15 14:23:09",,,带式输送机,0,0
1463,1461,3,"291.BCA","291.BCA",3,admin,"2020-11-15 14:23:09",,,带式输送机,0,0
1464,0,1,"3","3",1,admin,"2020-11-15 14:23:09",,,,0,
1465,1464,2,"31","31",2,admin,"2020-11-15 14:23:09",,,,0,
1466,1465,3,"31X.BC1","31X.BC1",3,admin,"2020-11-15 14:23:09",,,带式输送机,0,0
1467,1465,3,"31X.BC2","31X.BC2",3,admin,"2020-11-15 14:23:09",,,带式输送机,0,0
1468,1465,3,"31X.FN2","31X.FN2",3,admin,"2020-11-15 14:23:10",,,风机,0,0
1469,1464,2,"33","33",2,admin,"2020-11-15 14:23:10",,,,0,
1470,1469,3,"331.BCA","331.BCA",3,admin,"2020-11-15 14:23:10",,,带式输送机,0,0
1471,1469,3,"332.BCA","332.BCA",3,admin,"2020-11-15 14:23:10",,,带式输送机,0,0
1472,1469,3,"331.BCB","331.BCB",3,admin,"2020-11-15 14:23:10",,,带式输送机,0,0
1473,1469,3,"331.BC1","331.BC1",3,admin,"2020-11-15 14:23:10",,,带式输送机,0,0
1474,1469,3,"332.BCB","332.BCB",3,admin,"2020-11-15 14:23:10",,,带式输送机,0,0
1475,1469,3,"332.BC1","332.BC1",3,admin,"2020-11-15 14:23:10",,,带式输送机,0,0
1476,1469,3,"331.BC2","331.BC2",3,admin,"2020-11-15 14:23:10",,,带式输送机,0,0
1477,1469,3,"332.BC2","332.BC2",3,admin,"2020-11-15 14:23:11",,,带式输送机,0,0
1478,0,1,L,L,1,admin,"2020-11-15 14:23:11",,,,0,
1479,1478,2,L4,L4,2,admin,"2020-11-15 14:23:11",,,,0,
1480,1479,3,L41.BC1,L41.BC1,3,admin,"2020-11-15 14:23:11",,,带式输送机,0,0
1481,1479,3,L41.BC2,L41.BC2,3,admin,"2020-11-15 14:23:11",,,带式输送机,0,0
1482,1479,3,L41.BC3,L41.BC3,3,admin,"2020-11-15 14:23:11",,,带式输送机,0,0
1483,1464,2,"36","36",2,admin,"2020-11-15 14:23:11",,,,0,
1484,1483,3,"361.BC1","361.BC1",3,admin,"2020-11-15 14:23:11",,,胶带输送机,0,0
1485,1483,3,"361.MD1","361.MD1",3,admin,"2020-11-15 14:23:11",,,"1#原料磨",0,0
1486,1483,3,"361.SR1","361.SR1",3,admin,"2020-11-15 14:23:11",,,"1#磨机选粉机选粉机",0,0
1487,1483,3,"361.TF1","361.TF1",3,admin,"2020-11-15 14:23:12",,,TSLM司德伯密封阀,0,0
1488,1483,3,"361.BE1","361.BE1",3,admin,"2020-11-15 14:23:12",,,链板式提升机,0,0
1489,1483,3,"361.FN1","361.FN1",3,admin,"2020-11-15 14:23:12",,,原料磨循环风机,0,0
1490,0,1,"4","4",1,admin,"2020-11-15 14:23:12",,,,0,
1491,1490,2,"44","44",2,admin,"2020-11-15 14:23:12",,,,0,
1492,1491,3,"441.FN1","441.FN1",3,admin,"2020-11-15 14:23:12",,,窑尾高温风机,0,0
1493,1464,2,"39","39",2,admin,"2020-11-15 14:23:13",,,,0,
1494,1493,3,"391.CV1","391.CV1",3,admin,"2020-11-15 14:23:13",,,链式输送机,0,0
1495,1493,3,"391.CV2","391.CV2",3,admin,"2020-11-15 14:23:13",,,链式输送机,0,0
1496,1493,3,"391.CV3","391.CV3",3,admin,"2020-11-15 14:23:13",,,链式输送机,0,0
1497,1493,3,"391.CV4","391.CV4",3,admin,"2020-11-15 14:23:13",,,链式输送机,0,0
1498,1493,3,"391.CV6","391.CV6",3,admin,"2020-11-15 14:23:13",,,链式输送机,0,0
1499,1493,3,"391.CV7","391.CV7",3,admin,"2020-11-15 14:23:13",,,链式输送机,0,0
1500,1493,3,"391.CV8","391.CV8",3,admin,"2020-11-15 14:23:13",,,链式输送机,0,0
1501,1490,2,"42","42",2,admin,"2020-11-15 14:23:13",,,,0,
1502,1501,3,"421.FN1","421.FN1",3,admin,"2020-11-15 14:23:13",,,窑尾废气排风机,0,0
1503,1483,3,"362.BC1","362.BC1",3,admin,"2020-11-15 14:23:14",,,胶带输送机,0,0
1504,1483,3,"362.MD1","362.MD1",3,admin,"2020-11-15 14:23:14",,,"2#原料磨",0,0
